Pinf/P0,M_inlet,M_throat,M_exit,P_exit/P0,m_dot_param,shock_loc
1.0,0.0,0.0,0.0,1.0,0.0,
0.98,,,,,0.0,
0.97,,,,,0.0,
0.96085,,,,,0.0,
0.95,0.09700998235480235,1.0,0.2422811515839879,0.9500000000000012,0.6847314563772704,0.7038559381098365
0.9,0.09700998235480235,1.0,0.25557409489086713,0.9000000000000008,0.6847314563772704,0.7582532638166352
0.8,0.09700998235480235,1.0,0.2870375399729744,0.8,0.6847314563772704,0.8188893850441124
0.7,0.09700998235480235,1.0,0.32724863006773275,0.7000000000000004,0.6847314563772704,0.8684906865991385
0.6,0.09700998235480235,1.0,0.38039211272909823,0.599999999999996,0.6847314563772704,0.9165553750877676
0.5,0.09700998235480235,1.0,0.4537787520482156,0.4999999999994428,0.6847314563772704,0.9662358587527379
0.435,0.09700998235480235,1.0,0.5184626155472022,0.4349999999999909,0.6847314563772704,0.9999045810407757
0.4336,0.09700998235480235,1.0,2.4426122188153516,0.0639995674789236,0.6847314563772704,
0.4,0.09700998235480235,1.0,2.4426122188153516,0.0639995674789236,0.6847314563772704,
0.3,0.09700998235480235,1.0,2.4426122188153516,0.0639995674789236,0.6847314563772704,
0.2,0.09700998235480235,1.0,2.4426122188153516,0.0639995674789236,0.6847314563772704,
0.1,0.09700998235480235,1.0,2.4426122188153516,0.0639995674789236,0.6847314563772704,
0.04,0.09700998235480235,1.0,2.4426122188153516,0.0639995674789236,0.6847314563772704,
0.0,0.09700998235480235,1.0,2.4426122188153516,0.0639995674789236,0.6847314563772704,
