Pb_Pa,m_dot_kg_s
810600.0,0.0
802494.0,20.024067778438624
794388.0,28.164544015478075
786282.0,34.305028309691785
778176.0,39.392181287274596
770070.0,43.79462306819712
761964.0,47.702314983643596
753858.0,51.22860873052323
745752.0,54.44766801854177
737646.0,57.41120702507064
729540.0,60.15701290622882
721434.0,62.71370436603446
713328.0,65.10357960116971
705222.0,67.34441588147165
697116.0,69.45065751051769
689010.0,71.43422879022002
680904.0,73.30510741458025
672798.0,75.07173941443834
664692.0,76.7413461563508
656586.0,78.32015589345094
648480.0,79.81358138841749
640374.0,81.22635822177583
632268.0,82.56265393139196
624162.0,83.82615516796005
616056.0,85.0201380453148
607950.0,86.14752547853392
599844.0,87.21093432823896
591738.0,88.2127144730624
583632.0,89.15498142720537
575526.0,90.03964374879448
567420.0,90.86842620851033
559314.0,91.64288948002492
551208.0,92.36444695560338
543102.0,93.0343791686905
534995.9999999999,93.65384621106362
526889.9999999999,94.22389845841478
518784.0,94.74548586009118
510678.0,95.21946600251398
502572.0,95.64661111879217
494466.0,96.02761418720088
486360.0,96.36309423694762
478254.0,96.65360095981166
470148.00000000006,96.89961870990099
462042.00000000006,97.10156996020228
453936.00000000006,97.25981827325364
445830.00000000006,97.37467083369769
437724.0,97.44638058232255
429618.0,97.47514798418976
421512.0,97.47577939607537
413406.0,97.47577939607537
405300.0,97.47577939607537
397194.0,97.47577939607537
389088.0,97.47577939607537
380982.0,97.47577939607537
372876.0,97.47577939607537
364769.99999999994,97.47577939607537
356663.99999999994,97.47577939607537
348557.99999999994,97.47577939607537
340452.00000000006,97.47577939607537
332346.0,97.47577939607537
324240.0,97.47577939607537
316134.0,97.47577939607537
308028.0,97.47577939607537
299922.0,97.47577939607537
291816.0,97.47577939607537
283710.0,97.47577939607537
275604.0,97.47577939607537
267497.99999999994,97.47577939607537
259391.99999999997,97.47577939607537
251285.99999999994,97.47577939607537
243179.99999999994,97.47577939607537
235074.00000000003,97.47577939607537
226968.00000000003,97.47577939607537
218862.0,97.47577939607537
210756.0,97.47577939607537
202650.0,97.47577939607537
194544.0,97.47577939607537
186438.0,97.47577939607537
178331.99999999997,97.47577939607537
170225.99999999997,97.47577939607537
162119.99999999997,97.47577939607537
154013.99999999997,97.47577939607537
145907.99999999994,97.47577939607537
137801.99999999994,97.47577939607537
129696.00000000003,97.47577939607537
121590.00000000001,97.47577939607537
113484.00000000001,97.47577939607537
105378.0,97.47577939607537
97272.0,97.47577939607537
89165.99999999999,97.47577939607537
81059.99999999999,97.47577939607537
72953.99999999997,97.47577939607537
64847.99999999997,97.47577939607537
56741.99999999996,97.47577939607537
48635.999999999956,97.47577939607537
40529.99999999995,97.47577939607537
32424.00000000003,97.47577939607537
24318.000000000022,97.47577939607537
16212.000000000015,97.47577939607537
8106.000000000007,97.47577939607537
0.0,97.47577939607537
